Word_Frequency,Link_Count,Capital_Ratio,Exclamation_Count,Email_Length,Attachment_Count,Unknown_Sender,Email_Type
25,1,0.188,10,762,5,1,Spam
5,2,0.888,0,117,3,0,Not Spam
11,13,0.808,4,648,4,0,Not Spam
59,3,0.521,7,129,0,0,Not Spam
98,18,0.724,14,698,3,1,Spam
88,12,0.366,7,476,4,1,Spam
79,6,0.037,11,507,1,0,Not Spam
38,11,0.904,9,828,2,0,Not Spam
72,2,0.128,8,986,0,0,Not Spam
5,8,0.948,3,390,0,1,Not Spam
48,1,0.572,9,356,1,0,Not Spam
90,8,0.306,5,909,0,0,Spam
18,11,0.496,6,618,4,0,Not Spam
70,11,0.502,4,990,0,1,Not Spam
37,14,0.023,14,41,0,0,Not Spam
60,1,0.355,10,741,0,0,Not Spam
48,17,0.74,7,324,4,0,Spam
77,12,0.51,2,943,5,1,Spam
28,13,0.244,7,291,2,1,Not Spam
69,4,0.335,14,509,3,0,Not Spam
77,9,0.863,13,855,5,1,Spam
81,11,0.526,4,465,0,0,Not Spam
40,9,0.528,0,951,1,1,Not Spam
45,10,0.961,12,297,1,0,Spam
96,1,0.321,5,670,4,0,Not Spam
62,4,0.48,1,872,2,0,Not Spam
93,6,0.812,14,396,0,1,Spam
58,5,0.759,6,251,4,1,Spam
67,2,0.266,14,764,3,1,Spam
56,12,0.151,14,611,2,0,Not Spam
40,2,0.701,8,445,2,1,Spam
98,20,0.258,2,74,4,0,Not Spam
40,5,0.923,13,988,5,1,Spam
91,10,0.129,9,822,1,0,Spam
77,16,0.318,13,460,5,0,Spam
33,9,0.055,3,53,2,0,Not Spam
6,11,0.703,3,348,1,0,Not Spam
88,16,0.891,3,864,2,1,Spam
19,3,0.636,2,473,2,0,Not Spam
80,1,0.938,4,407,2,1,Spam
40,10,0.129,8,783,3,0,Spam
92,6,0.088,14,449,1,0,Not Spam
97,1,0.838,10,495,3,0,Not Spam
59,17,0.856,7,144,1,1,Spam
59,20,0.831,9,542,3,0,Spam
48,3,0.799,1,501,3,0,Not Spam
41,7,0.362,11,336,3,0,Not Spam
13,19,0.217,15,141,4,0,Spam
45,13,0.929,8,566,3,1,Spam
89,11,0.307,11,600,5,0,Spam
53,20,0.398,9,332,5,0,Spam
42,17,0.7,1,506,2,0,Spam
100,10,0.293,6,670,0,1,Not Spam
63,7,0.819,4,31,3,1,Spam
27,1,0.07,14,144,0,0,Not Spam
38,14,0.791,12,830,0,1,Spam
60,8,0.602,6,678,2,0,Not Spam
7,18,0.573,4,96,0,1,Not Spam
5,19,0.458,11,599,0,0,Not Spam
45,7,0.277,5,737,5,0,Not Spam
58,18,0.464,7,255,0,1,Spam
31,4,0.45,0,590,1,0,Not Spam
23,10,0.584,12,789,3,0,Spam
42,14,0.282,10,273,3,1,Spam
10,7,0.078,12,923,0,0,Not Spam
32,18,0.145,11,425,2,0,Spam
53,7,0.699,0,262,1,0,Not Spam
30,18,0.022,4,480,2,1,Spam
39,17,0.856,14,296,2,1,Spam
31,9,0.694,0,488,0,0,Not Spam
82,6,0.768,2,239,4,1,Spam
100,8,0.836,9,244,0,0,Spam
2,0,0.123,14,944,5,1,Not Spam
78,18,0.822,8,120,4,1,Spam
77,4,0.505,13,873,1,1,Spam
93,18,0.886,12,653,4,0,Spam
12,0,0.887,6,749,0,1,Not Spam
39,14,0.024,11,526,0,0,Not Spam
66,15,0.383,5,606,2,0,Not Spam
96,6,0.526,7,350,0,1,Spam
13,11,0.678,7,256,5,0,Not Spam
46,7,0.286,5,358,0,1,Not Spam
27,4,0.252,3,771,3,0,Not Spam
17,9,0.381,3,525,3,0,Not Spam
95,20,0.501,15,184,2,0,Spam
98,4,0.951,3,865,4,1,Spam
60,16,0.762,5,688,4,0,Spam
64,4,0.429,0,742,3,1,Not Spam
88,14,0.054,11,952,5,0,Spam
35,12,0.169,1,808,1,0,Not Spam
70,0,0.456,5,747,5,0,Not Spam
83,10,0.814,13,237,3,0,Spam
30,0,0.381,13,764,5,1,Spam
71,10,0.538,10,395,1,0,Not Spam
74,17,0.892,0,31,4,0,Spam
96,17,0.914,8,451,3,0,Spam
98,20,0.216,11,102,0,0,Spam
63,15,0.044,5,450,1,1,Not Spam
28,12,0.305,6,644,1,0,Not Spam
60,6,0.696,13,497,1,1,Spam
79,0,0.951,11,802,4,0,Spam
94,15,0.077,0,726,5,1,Spam
37,0,0.028,7,388,2,1,Not Spam
93,16,0.884,11,672,0,0,Spam
22,5,0.748,15,974,3,1,Spam
68,1,0.992,11,988,5,0,Spam
20,16,0.397,11,655,1,0,Spam
96,5,0.416,11,160,4,1,Spam
100,13,0.172,11,739,1,0,Spam
68,17,0.116,4,646,5,0,Spam
91,5,0.579,4,737,3,1,Spam
64,9,0.364,13,475,0,0,Not Spam
17,17,0.08,5,521,1,0,Not Spam
12,8,0.887,6,422,4,1,Not Spam
22,7,0.198,6,972,4,1,Spam
17,9,0.749,4,307,2,0,Spam
10,16,0.282,0,374,4,0,Not Spam
65,5,0.813,10,362,2,1,Spam
22,13,0.118,8,168,0,0,Not Spam
90,5,0.756,14,229,3,1,Spam
82,6,0.098,5,131,2,0,Not Spam
50,11,0.447,12,673,1,1,Not Spam
14,2,0.734,8,995,5,0,Not Spam
64,13,0.173,10,555,1,0,Not Spam
47,18,0.286,15,68,3,1,Spam
29,15,0.865,3,819,4,0,Spam
76,6,0.885,1,350,5,1,Not Spam
36,7,0.045,12,384,1,1,Not Spam
99,17,0.168,12,30,5,1,Spam
52,12,0.117,2,207,2,0,Not Spam
76,20,0.18,11,528,3,0,Spam
7,8,0.97,3,599,1,1,Not Spam
29,9,0.552,9,464,4,1,Spam
11,20,0.468,15,109,5,1,Spam
33,8,0.984,11,641,4,0,Spam
6,14,0.557,7,920,5,1,Spam
79,19,0.661,2,695,1,1,Spam
32,1,0.333,7,467,3,0,Not Spam
51,12,0.382,5,737,0,1,Not Spam
75,1,0.594,3,51,1,0,Not Spam
58,18,0.07,13,346,4,1,Spam
87,1,0.256,6,93,0,1,Not Spam
26,2,0.197,14,270,3,1,Not Spam
98,5,0.016,13,469,4,0,Not Spam
46,2,0.537,10,925,3,0,Not Spam
98,9,0.561,12,374,5,0,Spam
29,5,0.384,4,552,1,1,Not Spam
4,15,0.269,4,315,3,1,Not Spam
81,16,0.652,8,317,4,1,Spam
99,18,0.135,12,347,1,1,Spam
13,2,0.519,2,321,4,0,Not Spam
39,17,0.768,9,531,4,1,Spam
15,6,0.164,14,357,0,1,Not Spam
29,8,0.753,3,604,2,0,Not Spam
29,19,0.761,4,393,3,1,Spam
75,11,0.06,0,572,3,0,Not Spam
32,4,0.019,6,113,0,1,Not Spam
2,2,0.974,7,151,5,0,Not Spam
47,10,0.193,14,630,3,1,Not Spam
78,3,0.822,5,929,0,0,Not Spam
84,4,0.562,8,929,3,0,Spam
22,0,0.264,2,72,3,1,Not Spam
75,17,0.13,1,515,4,1,Spam
27,11,0.497,4,248,0,0,Not Spam
67,12,0.407,12,659,5,0,Spam
81,8,0.699,8,231,3,1,Spam
56,1,0.904,15,816,5,0,Spam
92,4,0.805,10,810,2,1,Not Spam
93,12,0.274,0,523,0,1,Not Spam
21,15,0.879,0,514,0,1,Not Spam
47,15,0.833,9,872,0,1,Spam
80,2,0.929,2,690,4,1,Spam
59,3,0.459,9,883,0,1,Not Spam
84,10,0.769,2,252,4,0,Not Spam
6,13,0.592,4,90,2,1,Spam
19,2,0.311,3,736,1,0,Not Spam
57,15,0.994,5,208,4,1,Spam
69,14,0.038,11,682,3,1,Spam
3,9,0.162,7,27,0,1,Not Spam
1,8,0.893,7,351,1,0,Not Spam
58,10,0.061,14,631,4,1,Spam
38,15,0.887,10,35,5,1,Spam
15,9,0.715,3,685,5,1,Not Spam
34,16,0.037,0,688,3,1,Not Spam
61,18,0.429,12,112,1,0,Spam
35,1,0.754,15,281,2,0,Spam
64,1,0.583,13,568,4,1,Spam
25,5,0.936,13,180,5,1,Spam
24,18,0.868,6,370,5,0,Spam
12,7,0.333,5,193,4,1,Not Spam
18,2,0.085,4,336,5,0,Not Spam
15,13,0.944,3,956,2,0,Not Spam
80,15,0.517,5,37,5,0,Spam
27,0,0.074,7,505,4,0,Not Spam
72,20,0.817,5,386,0,0,Spam
60,2,0.869,2,370,5,0,Not Spam
46,17,0.639,8,547,4,0,Spam
89,8,0.448,2,891,0,1,Spam
17,5,0.662,3,454,5,0,Not Spam
93,20,0.707,12,952,5,1,Spam
53,0,0.893,4,289,4,1,Not Spam
8,20,0.956,10,890,3,1,Spam
79,9,0.514,1,87,3,0,Not Spam
27,5,0.798,10,49,1,0,Not Spam
46,11,0.965,15,335,3,0,Spam
50,3,0.151,9,840,2,1,Not Spam
71,12,0.018,14,756,1,1,Spam
3,16,0.869,10,183,3,1,Spam
93,7,0.195,9,945,0,1,Spam
64,19,0.042,1,339,4,0,Not Spam
44,2,0.16,5,33,3,1,Not Spam
53,11,0.384,14,298,0,0,Not Spam
24,6,0.219,13,451,1,1,Not Spam
60,11,0.305,1,687,4,0,Not Spam
3,1,0.975,9,653,3,1,Spam
20,13,0.704,0,282,1,0,Not Spam
46,4,0.712,7,701,3,1,Not Spam
15,8,0.095,9,541,1,0,Not Spam
25,20,0.732,15,983,3,0,Spam
94,10,0.739,13,191,0,0,Spam
78,4,0.66,9,377,2,1,Spam
71,2,0.228,12,32,0,0,Spam
17,16,0.423,0,744,4,0,Spam
84,1,0.846,9,692,3,0,Not Spam
100,0,0.67,13,251,2,0,Spam
9,6,0.733,5,495,2,0,Not Spam
38,13,0.587,11,490,4,1,Spam
48,4,0.45,13,179,4,0,Not Spam
60,18,0.759,15,658,2,1,Spam
63,10,0.068,0,579,4,0,Not Spam
86,1,0.673,7,280,4,1,Spam
2,7,0.997,13,592,3,1,Spam
88,8,0.78,4,653,0,1,Spam
72,2,0.291,2,621,5,1,Spam
11,1,0.278,4,378,1,1,Not Spam
64,6,0.667,14,274,2,1,Not Spam
77,4,0.896,15,621,1,0,Spam
81,20,0.578,12,534,2,0,Spam
72,4,0.527,0,299,2,0,Not Spam
21,19,0.16,0,136,0,0,Not Spam
18,12,0.715,11,629,2,1,Spam
94,20,0.702,13,181,2,1,Spam
64,19,0.967,3,871,0,1,Spam
82,5,0.3,8,906,4,0,Not Spam
95,19,0.756,13,317,5,0,Spam
38,17,0.434,8,935,1,1,Spam
32,1,0.558,0,316,2,0,Not Spam
11,5,0.816,2,613,0,1,Not Spam
45,8,0.222,12,377,2,1,Spam
89,2,0.343,11,679,0,0,Spam
33,0,0.773,15,537,1,1,Not Spam
41,0,0.57,3,397,3,0,Not Spam
8,18,0.092,1,716,4,0,Not Spam
11,4,0.43,6,445,3,0,Not Spam
86,12,0.587,2,783,0,0,Not Spam
51,18,0.91,0,556,2,1,Not Spam
88,11,0.188,0,572,4,1,Spam
41,15,0.806,2,188,1,1,Spam
17,18,0.131,5,534,5,1,Spam
76,2,0.242,3,383,4,0,Not Spam
46,11,0.243,0,702,2,0,Not Spam
32,4,0.877,6,449,3,1,Spam
79,1,0.199,1,588,0,0,Not Spam
80,6,0.787,11,102,3,0,Spam
54,12,0.462,4,349,4,1,Spam
86,14,0.999,15,710,5,1,Spam
92,2,0.839,7,152,2,0,Spam
20,20,0.74,6,617,0,1,Spam
33,19,0.871,10,476,2,0,Spam
74,4,0.634,11,372,2,0,Spam
40,7,0.844,7,802,5,1,Spam
32,0,0.261,12,363,4,1,Spam
97,7,0.098,9,113,3,1,Spam
2,17,0.616,13,401,2,0,Not Spam
97,19,0.435,15,887,2,1,Spam
33,15,0.426,10,781,2,1,Spam
77,17,0.527,5,314,0,1,Spam
30,19,0.361,15,217,2,1,Not Spam
33,11,0.626,6,98,2,0,Not Spam
77,12,0.031,8,697,4,1,Spam
26,12,0.97,5,570,2,0,Not Spam
22,9,0.925,8,839,5,1,Spam
66,6,0.935,14,233,5,1,Spam
38,13,0.365,15,662,2,1,Spam
90,15,0.532,12,688,5,0,Spam
46,14,0.954,11,913,4,1,Spam
15,11,0.902,1,178,0,1,Not Spam
98,8,0.79,12,853,5,1,Spam
44,7,0.407,1,758,5,0,Spam
49,17,0.564,13,576,3,1,Spam
75,17,0.793,1,220,4,1,Spam
61,12,0.273,5,41,5,0,Spam
67,17,0.626,1,358,0,0,Not Spam
6,14,0.828,2,261,3,0,Not Spam
9,3,0.707,12,760,2,0,Not Spam
6,16,0.479,7,925,4,1,Not Spam
73,4,0.585,7,257,5,1,Spam
95,15,0.989,10,168,2,0,Spam
32,8,0.602,11,804,4,0,Spam
41,9,0.786,15,598,3,0,Spam
76,17,0.727,3,26,5,0,Spam
8,16,0.701,8,252,0,1,Not Spam
72,17,0.716,7,888,4,0,Spam
50,6,0.454,0,823,0,0,Not Spam
92,3,0.474,7,787,2,1,Spam
62,4,0.468,15,598,2,1,Spam
84,15,0.033,0,781,3,0,Not Spam
62,2,0.241,14,96,3,0,Not Spam
7,17,0.155,3,508,1,0,Not Spam
75,20,0.886,9,945,1,1,Spam
84,13,0.275,5,106,3,1,Spam
80,14,0.138,6,783,5,1,Spam
4,16,0.12,9,986,2,0,Not Spam
6,0,0.7,12,241,0,0,Not Spam
58,20,0.006,3,432,3,1,Not Spam
22,16,0.471,7,603,5,1,Spam
26,10,0.119,15,221,0,1,Not Spam
3,16,0.85,7,948,1,0,Not Spam
41,13,0.958,13,590,0,1,Spam
60,19,0.959,13,295,3,1,Spam
14,18,0.442,13,240,2,1,Spam
75,20,0.645,8,176,3,0,Not Spam
82,6,0.6,13,200,4,1,Spam
12,12,0.35,5,744,5,0,Not Spam
87,17,0.444,3,148,5,0,Not Spam
12,13,0.064,1,262,5,0,Not Spam
13,0,0.796,14,949,4,1,Spam
25,6,0.241,6,191,4,0,Not Spam
45,7,0.461,15,522,2,1,Not Spam
19,17,0.481,9,499,5,0,Not Spam
55,8,0.561,2,896,3,0,Not Spam
100,0,0.818,10,289,4,0,Spam
45,16,0.692,12,440,3,1,Spam
8,18,0.663,11,182,1,1,Spam
93,5,0.527,2,974,5,1,Spam
53,2,0.096,2,43,4,1,Not Spam
55,4,0.402,3,516,4,0,Not Spam
32,1,0.957,1,212,2,0,Not Spam
51,19,0.996,15,897,3,0,Spam
44,3,0.73,12,409,2,0,Not Spam
82,9,0.228,12,516,2,0,Not Spam
70,9,0.102,4,983,3,1,Not Spam
18,20,0.415,2,825,1,0,Not Spam
83,10,0.857,9,148,3,1,Spam
22,15,0.722,4,572,1,1,Not Spam
37,16,0.884,11,562,2,1,Spam
96,15,0.616,12,55,1,0,Spam
56,6,0.13,6,476,5,1,Not Spam
59,15,0.115,8,380,1,1,Spam
3,2,0.048,1,784,1,1,Not Spam
28,15,0.567,8,969,4,1,Spam
74,7,0.243,9,896,4,0,Not Spam
35,11,0.734,5,234,2,0,Not Spam
61,2,0.686,11,306,3,0,Not Spam
93,16,0.318,5,787,1,1,Not Spam
54,20,0.177,10,944,5,1,Spam
63,17,0.102,2,388,4,0,Spam
79,10,0.737,13,488,3,0,Spam
97,3,0.45,9,918,5,1,Spam
7,15,0.324,12,205,1,1,Not Spam
76,16,0.857,8,493,3,0,Spam
49,8,0.594,3,80,5,0,Not Spam
94,5,0.518,4,281,0,1,Not Spam
85,19,0.743,2,807,5,0,Spam
31,1,0.816,4,130,5,0,Not Spam
58,8,0.686,7,848,1,1,Not Spam
61,20,0.44,7,961,3,0,Spam
24,5,0.379,13,160,1,0,Not Spam
20,2,0.772,7,764,1,1,Not Spam
37,19,0.518,5,554,0,0,Not Spam
4,5,0.704,14,98,5,1,Spam
92,6,0.89,14,513,3,0,Spam
20,0,0.916,0,50,2,0,Not Spam
60,0,0.278,15,535,4,1,Spam
24,4,0.188,10,528,1,0,Not Spam
50,5,0.261,9,990,1,0,Spam
49,12,0.751,15,649,1,1,Spam
51,1,0.37,11,85,1,1,Spam
96,14,0.173,5,529,4,0,Spam
36,14,0.098,15,931,2,0,Not Spam
98,12,0.327,11,390,0,0,Not Spam
100,13,0.136,10,306,2,1,Spam
66,6,0.156,9,195,4,0,Spam
79,13,0.684,6,142,3,0,Spam
34,9,0.02,13,250,0,1,Spam
36,16,0.118,8,574,0,1,Spam
6,13,0.844,11,23,3,1,Spam
39,7,0.845,7,721,5,1,Spam
42,3,0.329,10,835,1,0,Not Spam
58,15,0.088,11,431,4,0,Spam
12,12,0.705,7,269,3,0,Not Spam
3,19,0.36,14,675,2,1,Spam
18,17,0.045,6,506,2,0,Not Spam
40,13,0.158,1,364,5,0,Not Spam
21,17,0.137,0,913,3,0,Not Spam
15,4,0.589,14,352,4,1,Spam
97,8,0.898,1,472,5,0,Spam
99,2,0.793,14,177,5,0,Spam
26,7,0.547,5,596,5,1,Spam
8,19,0.422,12,856,0,0,Not Spam
100,9,0.619,1,289,0,1,Not Spam
94,18,0.444,9,606,1,1,Spam
87,20,0.246,3,437,4,0,Spam
42,2,0.679,14,459,2,1,Spam
44,10,0.873,9,48,2,1,Not Spam
14,10,0.373,2,997,1,1,Not Spam
78,16,0.842,5,354,2,0,Spam
2,15,0.431,11,257,5,1,Spam
37,6,0.401,11,172,1,0,Spam
69,3,0.028,12,625,1,0,Not Spam
38,18,0.695,13,768,3,1,Spam
41,11,0.808,7,853,0,1,Not Spam
62,14,0.664,10,134,4,0,Spam
60,10,0.151,5,827,4,1,Not Spam
14,4,0.103,1,750,0,0,Not Spam
89,4,0.573,4,777,5,0,Spam
84,14,0.402,10,418,4,1,Not Spam
2,17,0.429,12,51,2,1,Spam
70,10,0.968,5,551,2,1,Spam
17,11,0.724,8,72,4,1,Not Spam
89,1,0.412,5,737,3,1,Spam
28,19,0.019,9,750,4,1,Spam
66,14,0.034,4,214,1,1,Not Spam
35,19,0.685,0,324,5,1,Spam
5,3,0.838,9,726,1,1,Not Spam
65,17,0.708,4,992,0,1,Not Spam
40,5,0.406,4,364,5,0,Spam
76,18,0.031,5,101,5,1,Spam
56,10,0.967,6,20,2,1,Spam
36,1,0.986,12,186,5,1,Not Spam
45,7,0.549,12,336,3,0,Not Spam
23,10,0.071,3,202,4,1,Not Spam
47,4,0.541,6,984,1,1,Spam
31,17,0.892,4,917,2,1,Spam
11,17,0.68,5,881,2,1,Not Spam
10,13,0.72,3,292,3,1,Not Spam
67,9,0.085,11,688,3,0,Spam
14,2,0.107,7,392,3,1,Not Spam
80,8,0.127,8,381,3,1,Spam
74,2,0.904,1,919,1,0,Not Spam
93,10,0.526,11,220,3,0,Not Spam
10,11,0.792,10,211,2,0,Spam
76,11,0.115,3,360,2,1,Not Spam
94,2,0.928,15,318,5,1,Spam
1,20,0.821,10,525,4,0,Spam
5,6,0.225,7,607,2,1,Not Spam
20,13,0.874,7,159,2,1,Spam
8,10,0.263,14,325,1,1,Not Spam
43,6,0.205,8,215,5,1,Spam
76,20,0.264,2,80,2,1,Not Spam
1,9,0.91,0,988,0,0,Not Spam
57,10,0.916,8,379,2,0,Not Spam
64,14,0.329,0,326,4,0,Not Spam
84,18,0.705,2,499,4,1,Spam
28,15,0.676,2,352,5,0,Spam
37,20,0.807,8,885,5,1,Spam
47,19,0.297,14,102,3,0,Spam
76,11,0.51,0,353,1,0,Spam
37,17,0.668,6,536,4,0,Not Spam
49,12,0.026,1,750,0,0,Not Spam
44,4,0.377,6,943,0,1,Not Spam
56,3,0.696,14,785,3,0,Spam
28,13,0.253,14,493,1,0,Not Spam
79,7,0.958,0,413,1,0,Not Spam
6,8,0.03,12,619,5,1,Not Spam
61,18,0.958,9,740,2,0,Spam
20,2,0.217,9,711,0,0,Not Spam
78,4,0.049,7,739,0,0,Not Spam
2,20,0.292,9,804,0,0,Not Spam
73,17,0.786,12,596,0,0,Spam
37,0,0.752,9,399,4,1,Not Spam
20,7,0.209,1,40,1,0,Not Spam
26,18,0.197,2,969,2,1,Not Spam
29,16,0.643,13,898,4,1,Spam
1,16,0.458,7,196,1,0,Not Spam
35,10,0.792,2,382,3,0,Not Spam
70,1,0.024,0,41,0,1,Not Spam
59,5,0.61,15,856,2,0,Not Spam
69,13,0.731,8,979,1,0,Spam
33,2,0.993,7,567,3,1,Not Spam
51,11,0.679,14,269,0,0,Not Spam
78,3,0.232,3,680,3,1,Not Spam
12,11,0.108,7,971,3,1,Spam
20,12,0.641,13,92,4,0,Not Spam
53,1,0.523,4,110,3,0,Not Spam
88,1,0.899,2,195,4,1,Spam
43,14,0.727,15,145,5,1,Spam
98,16,0.51,0,223,4,0,Spam
89,6,0.404,12,933,3,1,Spam
50,13,0.404,9,265,1,1,Not Spam
29,11,0.226,4,630,3,0,Not Spam
57,16,0.017,10,290,3,0,Not Spam
39,13,0.575,5,63,1,1,Spam
95,5,0.212,3,753,0,0,Not Spam
56,18,0.208,6,960,2,1,Spam
43,5,0.125,2,628,5,1,Spam
50,17,0.19,6,567,0,0,Not Spam
23,4,0.032,13,187,3,1,Spam
44,5,0.674,0,454,0,1,Not Spam
38,1,0.401,6,49,2,1,Not Spam
84,7,0.562,0,813,0,0,Not Spam
23,14,0.637,12,616,2,0,Spam
45,14,0.972,10,376,0,1,Not Spam
52,10,0.068,0,510,4,1,Not Spam
80,0,0.418,1,652,3,1,Spam
50,17,0.246,1,818,2,0,Spam
8,11,0.477,3,267,5,1,Not Spam
85,11,0.92,12,715,3,0,Spam
1,10,0.724,0,272,4,1,Not Spam
8,7,0.662,3,976,0,1,Not Spam
29,6,0.441,1,804,3,0,Not Spam
96,20,0.671,3,740,0,0,Spam
5,1,0.032,15,885,0,0,Not Spam
86,10,0.586,3,401,3,1,Spam
47,9,0.554,8,555,2,1,Spam
34,2,0.347,8,653,2,0,Not Spam
65,19,0.202,0,756,3,0,Not Spam
55,9,0.808,4,919,2,1,Spam
90,17,0.054,6,924,1,1,Spam
43,13,0.07,3,917,0,0,Not Spam
74,17,0.441,11,438,3,1,Spam
30,7,0.253,4,142,5,0,Not Spam
82,9,0.745,1,313,4,1,Not Spam
17,12,0.634,2,704,3,0,Not Spam
26,20,0.773,6,162,3,1,Spam
8,7,0.325,9,957,0,1,Spam
47,3,0.741,12,918,4,1,Spam
76,3,0.862,14,530,0,0,Not Spam
91,4,0.345,6,946,5,0,Not Spam
72,0,0.34,3,967,2,0,Not Spam
89,16,0.9,11,700,3,1,Spam
46,1,0.05,0,76,0,1,Not Spam
68,7,0.35,0,61,5,0,Not Spam
33,6,0.119,15,840,5,1,Spam
1,14,0.029,3,650,1,0,Not Spam
19,4,0.113,3,140,3,1,Not Spam
31,1,0.431,5,843,5,1,Spam
80,6,0.687,6,782,2,1,Spam
14,7,0.289,8,362,0,0,Not Spam
53,6,0.85,8,351,0,0,Spam
48,6,0.438,9,475,1,0,Not Spam
69,13,0.968,11,456,2,1,Spam
90,20,0.954,14,360,5,1,Spam
62,17,0.773,11,360,1,1,Spam
92,5,0.932,4,435,5,1,Spam
66,3,0.707,9,868,5,0,Not Spam
64,9,0.896,10,201,3,0,Not Spam
70,17,0.236,2,696,4,1,Spam
63,11,0.345,2,283,5,0,Not Spam
73,15,0.753,14,229,0,1,Spam
33,6,0.425,5,542,5,1,Spam
41,5,0.837,0,201,1,0,Not Spam
89,4,0.878,6,463,5,0,Spam
48,2,0.3,2,270,0,0,Not Spam
13,11,0.823,4,157,0,1,Not Spam
73,14,0.154,15,237,1,1,Spam
77,9,0.334,6,770,0,1,Not Spam
31,19,0.518,6,473,2,0,Not Spam
75,18,0.226,15,902,2,0,Spam
68,15,0.579,8,868,4,0,Spam
98,10,0.579,0,106,2,0,Not Spam
4,7,0.207,2,829,1,0,Not Spam
19,2,0.796,8,312,5,0,Not Spam
70,6,0.632,7,111,2,0,Not Spam
98,6,0.318,1,227,4,1,Not Spam
82,13,0.232,7,223,3,0,Spam
13,1,0.879,7,205,3,0,Not Spam
23,9,0.836,1,104,1,1,Not Spam
83,18,0.23,7,846,4,1,Spam
75,8,0.036,2,683,2,0,Not Spam
1,15,0.805,6,175,4,1,Not Spam
88,18,0.616,12,312,0,0,Spam
54,17,0.101,8,552,4,0,Spam
71,8,0.587,3,180,2,0,Not Spam
89,15,0.452,14,405,1,1,Spam
85,12,0.775,10,504,0,1,Spam
15,9,0.209,5,522,4,0,Not Spam
65,19,0.453,8,870,3,1,Spam
76,13,0.156,10,175,2,0,Not Spam
71,11,0.958,15,162,1,0,Spam
15,18,0.779,10,788,5,1,Spam
21,6,0.737,4,638,2,1,Not Spam
19,14,0.69,11,303,4,1,Not Spam
60,15,0.423,0,581,1,0,Not Spam
93,7,0.923,2,54,3,1,Not Spam
89,9,0.073,10,243,0,1,Not Spam
33,3,0.803,14,687,4,1,Spam
49,18,0.215,8,412,1,0,Spam
96,18,0.324,15,427,0,0,Spam
35,20,0.519,2,722,1,0,Not Spam
44,14,0.783,10,407,5,0,Spam
90,13,0.839,10,715,4,0,Spam
11,0,0.584,9,768,1,1,Not Spam
99,15,0.403,1,316,3,1,Spam
72,9,0.947,3,342,1,0,Not Spam
78,18,0.247,4,835,4,1,Spam
74,2,0.803,6,873,1,0,Not Spam
66,4,0.612,6,507,0,0,Not Spam
46,8,0.377,8,589,0,0,Not Spam
9,17,0.001,12,58,5,0,Spam
3,10,0.447,7,524,2,0,Not Spam
85,15,0.277,12,522,5,0,Spam
26,1,0.104,14,772,2,1,Spam
72,11,0.075,15,556,3,1,Spam
48,5,0.348,1,335,0,1,Not Spam
66,10,0.615,11,515,2,1,Spam
70,7,0.838,7,136,1,1,Not Spam
28,11,0.184,7,361,3,1,Spam
93,1,0.425,4,901,4,0,Not Spam
26,8,0.392,14,259,2,0,Spam
25,14,0.513,12,706,5,0,Spam
12,1,0.81,2,464,2,0,Not Spam
5,0,0.554,8,871,5,1,Not Spam
98,9,0.847,11,759,5,0,Spam
48,1,0.519,6,506,0,1,Not Spam
37,11,0.604,0,784,3,1,Spam
79,7,0.437,7,430,5,1,Spam
44,4,0.823,9,911,0,1,Not Spam
100,0,0.924,12,642,0,1,Spam
15,14,0.639,4,772,5,1,Spam
43,5,0.821,5,755,3,0,Not Spam
48,11,0.059,8,317,1,0,Not Spam
87,7,0.906,9,71,2,0,Spam
70,12,0.189,14,752,0,0,Spam
46,18,0.257,13,323,2,0,Spam
43,0,0.053,7,307,3,0,Not Spam
21,10,0.965,13,683,1,0,Spam
23,19,0.852,10,918,4,1,Spam
80,0,0.913,13,137,1,1,Spam
47,7,0.847,13,942,3,0,Spam
15,4,0.48,2,988,1,0,Not Spam
25,16,0.924,12,443,4,1,Spam
36,7,0.969,4,810,0,0,Not Spam
75,9,0.503,15,666,1,1,Spam
51,1,0.176,3,228,5,0,Not Spam
15,8,0.659,13,146,5,1,Spam
68,2,0.975,0,312,3,1,Spam
21,17,0.872,4,538,1,0,Not Spam
13,6,0.862,9,241,4,0,Not Spam
86,14,0.934,6,96,3,1,Not Spam
19,20,0.894,0,357,1,0,Not Spam
34,19,0.776,3,882,3,0,Spam
78,17,0.718,5,809,5,1,Spam
68,2,0.265,10,865,4,1,Spam
52,13,0.621,11,869,0,0,Not Spam
27,1,0.521,8,758,4,0,Not Spam
29,13,0.862,10,932,0,1,Not Spam
28,10,0.492,7,294,2,1,Spam
35,15,0.128,1,882,5,1,Spam
8,7,0.005,10,826,5,0,Not Spam
16,6,0.678,2,136,5,1,Spam
36,10,0.55,9,311,4,0,Not Spam
30,2,0.331,12,290,0,1,Not Spam
18,16,0.169,4,466,2,0,Not Spam
2,13,0.467,10,176,2,0,Not Spam
49,5,0.1,6,591,2,1,Not Spam
77,7,0.336,2,203,3,0,Not Spam
4,4,0.379,11,443,4,1,Not Spam
90,7,0.466,6,675,4,0,Not Spam
89,1,0.467,4,692,5,0,Not Spam
94,14,0.257,9,620,4,0,Not Spam
75,11,0.85,5,35,4,1,Spam
7,16,0.356,5,945,3,1,Not Spam
