Age,Annual_Income,Credit_Score,Years_Employed,Purchase_Count,Website_Visits,Will_Purchase
22,100199,613,8,25,36,Yes
58,41754,320,4,13,30,No
29,23972,381,9,12,45,No
43,90831,430,3,26,19,No
63,132217,604,4,3,23,No
51,61873,670,9,6,34,No
31,114661,683,10,21,13,No
43,126532,744,20,9,43,Yes
62,146267,724,9,6,29,Yes
44,29903,460,7,20,36,Yes
26,23020,477,1,14,22,No
43,61755,789,7,14,47,Yes
64,105956,626,15,3,36,Yes
39,106988,588,4,22,9,Yes
64,65648,653,2,22,39,Yes
47,123537,327,11,5,19,No
60,145991,342,12,23,38,Yes
65,29516,722,12,19,6,No
34,132863,476,9,25,47,Yes
43,135005,828,3,4,15,No
53,22396,793,8,19,20,Yes
18,104082,497,1,11,9,No
25,39129,816,18,0,32,No
52,148322,813,0,27,4,No
32,21591,321,6,7,50,No
64,31303,411,16,0,18,No
39,50561,356,2,4,5,No
31,91719,365,19,30,20,Yes
43,138618,397,19,21,23,Yes
45,112108,443,20,5,11,No
40,148748,734,2,28,37,Yes
31,119616,385,2,20,22,No
41,144165,643,16,2,4,No
19,106231,593,6,14,29,Yes
62,27314,542,13,4,44,No
43,137071,331,16,27,34,Yes
31,39623,690,17,23,13,No
24,87675,576,12,13,42,Yes
20,132992,831,19,17,9,Yes
64,116826,453,19,15,42,Yes
40,85082,682,20,5,31,Yes
63,149839,367,17,24,7,Yes
60,103624,513,3,23,4,No
64,125228,675,0,13,19,Yes
62,53130,512,17,26,42,Yes
35,71756,378,0,23,30,No
55,117624,680,12,7,31,Yes
52,46292,357,19,30,35,Yes
32,131785,325,19,28,21,Yes
42,147331,746,9,6,31,Yes
54,106206,365,10,7,19,No
45,89274,553,8,12,31,No
27,22469,343,8,5,32,No
56,73947,396,4,17,2,No
34,42534,526,0,1,10,No
56,83620,735,16,7,2,Yes
39,68874,678,1,10,2,No
43,69708,477,12,0,24,Yes
61,94553,726,8,21,17,Yes
42,88344,606,3,28,32,No
34,69138,803,4,5,16,Yes
30,74302,567,10,15,16,No
37,67638,307,18,26,46,Yes
42,98249,807,20,19,39,Yes
21,125865,775,2,11,31,No
27,22719,596,11,10,43,No
20,42890,463,18,28,24,No
58,97236,784,18,30,1,Yes
62,56509,371,12,26,11,No
35,62534,537,6,28,21,No
64,122302,403,14,9,4,No
53,112241,509,6,2,7,No
64,38787,767,7,12,26,No
39,146209,753,4,26,47,Yes
51,68845,567,20,2,50,Yes
64,77932,685,13,30,12,Yes
25,112124,686,3,14,31,No
57,111659,558,9,15,17,Yes
61,53062,582,19,28,33,Yes
36,95713,339,14,12,11,No
59,107263,785,17,16,28,Yes
58,115756,519,19,2,32,Yes
54,80461,428,12,19,1,No
23,95418,819,7,10,47,Yes
43,86672,559,8,26,28,Yes
51,148232,665,15,20,42,Yes
62,54832,843,18,18,7,Yes
23,147335,823,15,21,2,Yes
54,51966,315,6,10,42,No
50,92545,428,13,29,24,No
39,32987,408,13,30,4,No
38,57311,832,3,27,44,Yes
23,51575,568,14,15,19,Yes
23,83852,461,2,20,26,No
65,147650,559,4,2,11,No
21,21007,401,0,21,40,No
47,90981,805,2,5,50,Yes
28,96242,546,14,30,43,Yes
47,67517,836,7,13,11,Yes
48,130022,430,3,23,45,No
41,49257,652,1,17,3,No
26,107272,495,9,16,12,No
20,62207,681,3,3,3,No
48,33281,526,2,22,42,No
57,81246,775,1,14,27,No
54,21435,776,16,10,49,Yes
53,118875,564,20,25,2,Yes
41,120686,671,19,2,49,No
48,111357,785,12,2,16,No
23,46660,733,4,15,2,No
19,25084,510,20,4,30,No
37,102197,676,8,20,20,No
45,33507,694,5,28,38,Yes
28,92595,749,4,9,28,No
21,103807,663,9,18,25,No
32,65539,756,7,24,32,No
23,135953,525,6,3,10,No
47,27491,430,6,28,42,No
55,147706,775,5,28,40,Yes
19,132831,576,20,30,33,No
32,70192,455,19,18,13,No
28,100395,517,2,10,41,Yes
25,143797,489,18,1,42,Yes
43,83888,716,14,9,47,Yes
62,93609,845,3,28,37,Yes
61,29077,340,11,10,16,No
22,137440,606,5,24,45,No
23,142901,637,18,19,22,Yes
43,40953,613,3,15,20,No
21,96919,374,14,18,50,Yes
36,134682,578,8,22,43,No
37,141041,475,4,23,27,Yes
