Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Parking,House_Price
3580,3,1,5,2.93,2,17402746
3645,2,2,26,19.8,0,16692502
1453,2,2,28,3.15,2,6939912
3039,3,1,14,11.89,1,14580562
3460,5,1,20,24.31,2,16170958
3824,2,3,29,13.57,1,17603159
3801,4,3,9,29.92,2,18187255
2042,2,2,4,17.21,0,10298809
1697,5,3,25,10.31,0,9064269
2176,5,3,28,7.38,2,11037743
1691,4,3,4,11.17,0,9798494
2717,2,3,9,11.8,2,13344030
1916,5,1,27,2.99,0,9144195
3493,3,2,4,11.72,1,16859321
3342,1,3,2,14.46,2,15908765
3181,1,1,22,21.96,1,14230201
1717,1,1,5,20.05,1,7871659
2040,2,1,3,21.55,2,9889196
2576,4,3,17,1.24,1,13190838
3736,5,3,27,7.31,2,18245461
1945,3,2,8,20.19,1,9775539
2886,3,3,16,15.04,2,14147700
2019,2,3,28,1.15,2,9729875
1888,1,1,12,24.33,0,8118462
2356,2,2,26,23.41,2,10684590
1865,4,3,14,16.9,2,9921687
999,4,3,29,2.93,1,5527666
2180,5,1,19,23.23,2,10908272
1010,5,1,16,17.93,0,5409704
3898,4,3,12,23.68,1,19035984
716,4,2,15,22.8,1,3561921
1824,4,2,21,24.29,0,8882560
1655,2,1,3,16.02,1,8639320
2327,4,1,4,5.07,1,12384525
3641,3,3,4,20.46,1,17667343
3823,1,1,8,18.99,1,17242150
3986,4,3,16,22.53,0,19308018
2310,1,2,12,5.93,0,10953434
2992,2,2,1,6.65,1,14716258
3423,1,3,12,26.82,1,15613886
1705,2,1,21,22.75,0,7350028
2714,3,2,20,27.34,0,12717166
590,2,1,26,23.0,0,2632468
1213,2,2,22,18.32,1,5832486
2381,5,3,18,19.97,1,11884089
538,4,3,2,26.78,2,3789150
3697,4,3,9,17.79,0,17647638
672,3,2,1,19.34,1,4172064
1152,3,1,12,5.54,0,5831737
1253,4,1,18,14.74,1,6066373
1743,5,1,25,21.78,0,8625736
1581,4,2,16,8.86,1,8007534
2183,5,2,20,6.87,2,11542081
3023,3,2,13,10.1,2,14855018
955,1,2,30,8.0,0,4271085
1328,3,2,11,7.23,1,7572727
1394,3,1,20,13.32,1,6515149
1884,2,2,11,27.33,0,9124843
2458,2,2,10,15.7,1,11782589
3572,2,1,6,6.45,0,17557768
2934,2,2,3,3.23,1,14398201
2496,5,1,18,21.19,0,11972623
2895,4,1,0,12.1,1,14671884
689,1,3,27,24.83,0,2896673
1004,3,3,30,20.13,1,4765784
1714,5,3,23,24.09,2,8673631
2031,1,3,28,8.89,1,9736251
3940,5,2,2,21.08,0,19057535
3980,5,3,12,8.66,2,19862572
1323,3,1,14,28.23,1,6692946
1428,4,2,1,19.45,2,8338124
1433,2,3,10,10.41,1,7379887
1640,4,1,3,8.82,2,8927054
633,3,2,18,6.54,0,3597652
2605,3,2,28,21.14,1,11645945
1184,3,3,16,7.34,1,6645579
3219,1,2,2,18.26,0,15169926
2720,4,1,27,8.67,2,13361746
2352,4,2,17,20.2,0,11239199
1314,5,1,7,24.63,0,7377574
1672,5,2,21,23.56,2,8917609
579,5,3,24,23.06,0,3606068
3433,3,1,23,6.44,1,15501985
3784,4,2,25,3.56,1,17913658
702,3,2,18,21.27,1,4260068
3311,1,2,4,11.68,0,15710164
1752,5,1,6,13.54,1,9606550
2199,3,1,20,1.9,1,10665208
1750,3,1,7,8.53,1,8933539
2182,1,3,27,1.98,1,9757564
2055,2,3,4,26.5,1,10416185
3973,4,1,16,8.06,1,19207220
2594,2,2,4,17.16,0,12312084
1756,5,3,3,2.13,1,10099686
3876,3,1,21,20.34,1,17751765
2049,1,2,18,10.37,2,9798138
1666,1,3,30,27.04,0,7060109
3986,4,2,26,26.76,0,18584635
1896,2,2,20,10.43,0,9001231
3830,4,2,1,27.13,0,17880044
3203,3,2,10,29.89,1,15286380
970,4,3,21,24.94,1,5520288
3518,1,3,12,25.5,2,16102985
1535,1,3,14,8.22,2,7845282
1853,5,1,11,17.72,0,9986590
3283,5,3,21,2.95,2,16497517
3331,3,2,20,3.75,2,16309907
1467,2,3,21,29.97,0,6696561
857,4,2,10,10.47,0,5152609
3519,3,1,6,22.7,2,16750345
3979,5,2,27,24.39,1,18585920
1167,4,2,4,25.88,2,6616969
872,5,2,16,29.93,2,4667730
1531,4,1,23,8.0,1,7621780
1645,2,3,19,2.17,1,8668552
1871,3,3,8,12.92,0,9430177
3223,4,1,13,4.77,0,15366567
589,1,2,25,1.65,2,3067803
3245,1,3,11,11.45,1,15406296
3887,4,1,5,23.73,0,18616266
3749,4,3,16,17.42,2,18173665
1039,4,1,18,10.07,1,5642066
3279,1,2,18,19.98,2,14948179
1368,1,3,25,7.73,0,6097451
540,4,1,15,1.42,0,3538752
1239,5,3,11,23.17,1,7298249
2446,5,3,11,19.09,2,12858964
3049,2,3,19,23.11,1,13797239
3506,3,3,5,2.13,0,17412381
3716,5,1,30,25.28,0,16873208
1724,1,2,22,18.97,2,8266641
1428,5,1,25,17.34,2,7415767
2536,2,1,3,19.11,2,12528871
3008,2,1,5,26.07,1,14124892
3279,3,2,10,18.02,2,15838586
3299,5,3,0,17.85,2,17352461
1424,1,3,29,29.73,0,6331594
3456,1,3,23,22.95,0,15607465
2081,4,2,22,13.83,2,10327983
3824,1,3,14,21.51,2,17351006
889,3,2,26,12.29,0,4535842
2117,3,3,10,7.64,2,10982174
3430,1,3,24,18.31,1,15757289
755,1,1,18,27.92,1,3453555
1208,4,2,17,27.95,1,6550230
2338,1,1,16,10.92,2,10956848
2444,4,1,18,16.3,0,11460410
2997,4,1,20,7.14,2,13986372
509,1,2,13,29.87,2,2341925
3371,2,2,26,29.45,0,15363872
1297,2,3,17,19.84,0,6840573
3813,4,1,27,24.33,0,17347425
3822,1,3,18,21.74,1,17158960
1376,2,1,14,18.2,2,6555897
1528,1,2,30,2.55,0,7169451
3690,1,2,14,14.19,2,16993447
1515,1,2,3,20.57,1,7658381
2324,5,1,6,20.65,1,11907140
873,1,2,12,11.82,0,4559601
3636,5,1,2,28.31,0,18110303
2693,4,3,15,5.85,2,13863945
723,2,1,30,15.51,0,3110029
1762,2,3,8,21.04,2,9450293
2724,2,1,7,21.22,0,12855988
2302,2,3,19,19.81,2,10839563
1352,2,2,12,8.98,2,7216266
3853,2,3,16,5.53,2,18519764
562,2,2,16,19.44,2,3063224
1740,4,2,16,18.38,1,8733003
3374,1,3,0,6.2,2,16474435
3342,3,1,7,21.45,0,15662028
1188,5,1,18,14.2,1,6395560
1984,3,1,30,20.37,1,8789901
2133,3,1,5,25.28,2,10644439
2652,1,1,2,5.92,1,12853400
3670,1,2,26,1.56,2,16970100
1010,1,1,4,23.59,0,4847608
884,2,2,12,18.68,2,4699984
904,4,2,14,21.29,1,5472701
3370,2,2,13,25.31,0,15580651
1017,4,3,28,24.28,2,5666842
975,4,3,30,28.87,0,4550996
2500,3,2,22,16.54,0,11906494
3256,3,3,15,15.17,1,15529924
2168,4,1,17,12.65,0,10448962
2393,4,1,21,5.46,1,11601324
3318,2,2,28,17.61,0,14840150
1960,2,1,21,9.03,2,9166999
3594,3,2,10,27.72,0,17182919
3544,1,2,2,17.91,2,16841153
3224,4,1,21,18.19,2,15345464
1213,2,3,9,11.29,0,6343410
582,3,1,9,2.51,2,4098035
1668,2,1,29,1.92,0,7721364
3656,4,2,20,13.28,0,17269168
3649,4,2,15,3.45,2,17490429
3004,5,2,11,18.6,2,15125074
2401,1,2,1,26.55,1,11592420
2548,5,3,8,26.6,2,12899288
550,3,3,23,20.11,1,3083951
1184,2,3,2,7.13,2,6989690
1216,3,2,23,26.03,0,5363668
1969,4,2,29,26.7,2,9209287
948,5,2,24,6.7,0,5496227
1380,5,3,29,22.39,0,7313455
987,5,2,14,9.31,0,6421745
2323,3,1,2,24.28,1,11917564
2581,4,1,18,29.92,2,12302042
3919,2,2,17,1.87,0,18242043
2642,2,1,7,27.02,0,12514381
3643,3,1,25,19.06,1,16531402
2074,5,3,16,29.23,2,10487876
2701,1,2,7,14.49,2,12853383
749,3,2,6,25.57,1,4251432
1173,3,3,29,2.81,1,6200458
937,4,1,6,10.72,2,5521500
2665,2,1,2,2.94,1,13164981
1270,3,2,0,29.28,2,7338138
3877,3,1,3,24.69,2,18508235
767,5,3,24,25.72,0,4766286
2484,5,3,4,28.2,0,13064514
1577,1,2,0,3.47,2,8485110
735,4,3,14,12.18,2,4725362
888,1,3,4,3.06,2,5544927
3537,5,2,12,7.11,2,17601806
1262,2,3,7,7.65,2,7020498
2348,5,3,7,14.6,2,12601550
2948,4,3,4,8.79,1,15088858
1123,5,1,27,3.93,2,5979833
3314,4,2,8,5.86,1,16094025
3874,4,2,30,5.27,1,18477383
3466,4,2,0,29.22,2,17215186
3778,4,1,3,23.02,2,17885447
1752,4,1,2,29.07,1,8825903
3400,2,2,1,13.75,1,16494766
1077,1,1,30,9.07,2,4855743
2622,3,2,7,24.15,2,12501387
934,1,1,22,10.46,1,4231490
2650,4,3,8,9.68,1,13726314
3993,2,3,1,7.74,1,19330822
1263,5,2,13,4.76,0,7307257
3285,2,1,13,8.44,1,15316812
3353,4,1,3,11.3,0,16664799
1829,2,3,29,20.55,2,8344679
2645,2,3,30,2.81,2,12250780
3345,4,1,5,7.1,1,16522732
1858,2,1,10,24.46,2,8543419
3406,3,1,2,5.26,2,16255522
2982,3,1,7,10.94,2,14856134
946,2,1,2,26.08,2,4799344
2517,5,1,13,5.49,0,12358287
1831,4,2,27,3.4,0,8883560
748,3,1,12,15.05,1,3960837
665,5,3,12,9.77,1,4731572
3531,2,2,1,17.34,1,16694328
1858,5,1,12,24.31,2,9709347
1519,1,3,28,4.98,2,7407459
1041,3,2,18,17.84,0,4988952
1258,2,3,26,15.66,0,5823276
3677,4,1,5,5.18,1,17917136
2628,2,1,15,19.1,0,12057748
2680,4,1,1,8.94,0,13796871
1296,2,1,7,15.15,0,6749078
3447,5,2,16,3.39,0,17618417
